1064776727282391;Amber Donker;Boy 
1064776727282391;Natalie Parker;He’s a boy
1064776727282391;Sheena Campbell;Boy
1064776727282391;Elisha Taylor;
1064776727282391;Abi Topham;Absolutely buzzing  to be having a baby boy 
1065809333845797;Lauren Jacobs;Early girly with time to rise
1066768517083212;Lauren Jacobs;No clues
1066355610457836;Lauren Jacobs;No clues
1066180173808713;Lauren Jacobs;No clear clues
1066100780483319;Lauren Jacobs;No clues
1066196770473720;Amber Donker;No clues
1066246123802118;Amber Donker;No clues
1066227213804009;Amber Donker;Early girl
1066611620432235;Amber Donker;Girl
1066501553776575;Amber Donker;Boy
1066681083758622;Amber Donker;No clues
1066651937094870;Amber Donker;Not seeing enough
1066701050423292;Amber Donker;Early girl
1066698553756875;Natalie Parker;He’s a boy xx
1065662070527190;Lauren Jacobs;No clues
1065662070527190;Charlotte Donohue;I'm guessing girl
1065662070527190;Natalie Parker;No Nub xx
1066000177160046;Amber Donker;Boy 
1066000177160046;Ally Richie;Anyone else?
1066000177160046;Charlotte Donohue;I'm not admin but looks like a boy to me 
1066000177160046;Rilee Taylor White;boy! i’m 15 weeks too!! 
1066000177160046;Sydney Chavez;I’m due June 11th 
918330371927028;Amber Donker;early girl 
918330371927028;Amber Donker;
918330371927028;Rachel Giberson;ended up being a boy
1066384613788269;Amber Donker;Boy
1066017740491623;Amber Donker;Girl
1066017740491623;Rilee Taylor White;girl!!
1066032567156807;Amber Donker;Girl
1064894353937295;Natalie Parker;Seeing a boy x
1064894353937295;Sheena Campbell;Boy forsure
1064894353937295;Deron Wandi;How many weeks exactly on this scan?
1064894353937295;Lauren Jacobs;Boy
1065024830590914;Amber Donker;Girl 
1065024830590914;Natalie Parker;Girl
1065908630502534;Amber Donker;Early girl. 
1066007597159304;Amber Donker;Early girl. This can still be a boy
739605686466165;Nina Mullen;That's definitely a boy mama.
739605686466165;Hu Yun;Boy
739605686466165;Charlotte Jayne Harrison;You can see it sticking out so obvious lol
739605686466165;Jacqueline Corrigan;That’s a boy congrats boys are amazing 
739605686466165;Natalie Parker;All boy, seeing scrotal and penis 
739605686466165;Lauren Jacobs;Boy
739605686466165;Hannah Gerecke;Obvious penis in potty shot
739605686466165;Tumpa Sorkar;True?your baby was boy??
1064426720650725;Lauren Jacobs;Girl
1064426720650725;Natalie Parker;Girl
1064426720650725;Shabnam Bengali;GIRL
1064426720650725;Tomasz Kobiella;How you can see nub on that low quality photo 
1064426720650725;Amber Donker;Girl
1064426720650725;Nicole Ballweg;Thank you all!  I will report back after our 20 week scan!
1065883670505030;Lauren Jacobs;No clear gender seen 
1065883670505030;Ryan-Lindsay Marinelli Clark;Legs are to right to make a call. Looks girl but would never say for sure
1065883670505030;Desiree Moreno;I was told possibly girl at 25 weeks but legs were too close together got another scan at 27 weeks and baby is a boy 
1063810354045695;Amber Donker;Congrats 
1063810354045695;Stephanie Wehkamp;Pretty girl 
1063810354045695;Bethany Wright;Look at them cheeks
1063810354045695;Maryclaire Fitzpatrick;She was 9.9 so adorable x 
1063810354045695;Becky Said;
1065722327187831;Lauren Jacobs; No clues
1065541630539234;Lauren Jacobs;Early girly with time to rise
1064734053953325;Lauren Jacobs;No clues
1064723197287744;Amber Donker;Girl lean
1065761600517237;Amber Donker;Boy
844290589331007;Natalie Parker;Bump
844290589331007;Natalie Parker;Bump 
1064437170649680;Natalie Parker;Clear boy 
1064437170649680;Pretty Bella Gabriel;
1064437170649680;Lauren Jacobs;Boy
1064437170649680;Zara Ali;Awww tnk xxxx to all of you beautiful's
1064437170649680;Abi Topham;
1064437170649680;Nikki Seigler;Boy
1064437170649680;Amber Donker;Boy
1064437170649680;Rilee Taylor White;boy 
1064437170649680;Lila Mila;Boy
1064437170649680;Nicole O Brien;
1064803790613018;Amber Donker;Baby boy 
1064803790613018;Haleigh Todd;Boy! 
1064803790613018;Tyree Swiderski; Boy
1064803790613018;Natalie Parker;He’s a boy 
1064803790613018;Gemma Singleton;Perfect boy nub 
1064803790613018;Sophie Cunningham;Thank you all x 
1064803790613018;Pretty Bella Gabriel;Boy
1064803790613018;Rilee Taylor White;boy 
1064803790613018;Mia Alia Martinez;All boy 
1064803790613018;Jess Parsons;
1064803790613018;Fatima Koundi Ahlali;Boy 
1064803790613018;Minaa Soso;Boy
1064803790613018;Asha Hope Rödel;Boy 
1065522163874514;Amber Donker;Girl 
1065522163874514;Lila Mila;Girl
1064441690649228;Natalie Parker;Early girl
1064441690649228;Lauren Jacobs;Early girly
1064441690649228;Stephanie Wehkamp;Thank you! I’m so curious 
1064441690649228;Nikki Seigler;Girl
1064441690649228;Tarsha Marie Rix;This scan looks like my daughters nub 
1064441690649228;Shabnam Bengali;Early girl
1064441690649228;Georgie Smith;Early girlie 
1064441690649228;Jennifer Burgess;Girl I think x
1064441690649228;Stephanie Wehkamp;Thank you all! Everyone on the internet thinks a girl, everyone in my area thinks a boy! I’m so curious 
1064441690649228;Lila Mila;Girl
1065634777196586;Amber Donker;Boy
1065077720585625;Amber Donker;Not seeing enough 
1065024330590964;Amber Donker;No clues 
1065015450591852;Lauren Jacobs;Your post was declined. Either because name wasn’t on scan, age of baby at time of scan wasn’t on, or baby was younger than 12 weeks. 
1065015450591852;Mia Louise;I've posted again but still nothing is appearing? Xx
1064775833949147;Amber Donker;Not clear, girl lean
1064775833949147;Natalie Parker;Girl
1064775833949147;Fatima Koundi Ahlali;Girl 
1064916007268463;Natalie Parker;
1064916007268463;Nikki Seigler;Clear boy
1064916007268463;Brooke Cruz;This was my 13 weeks definitely a boy!! 
1064916007268463;Colleen Amos;Boy for sure 
1065121960581201;Amber Donker;Boy
1064945537265510;Amber Donker;Early girl 
1064983783928352;Amber Donker;Boy from top pic
1065023643924366;Amber Donker;No clues
1065009767259087;Amber Donker;No clues 
1065069783919752;Amber Donker;No clues 
1065062897253774;Amber Donker;Early girl 
1065071477252916;Amber Donker;No clues 
1065113420582055;Amber Donker;No clues
1065115410581856;Amber Donker;No clues 
1062371484189582;Natalie Parker;Girl lean
1062371484189582;Suzanne Niven; Girlie
1062371484189582;Evanne Renae;I hope y'all are right. I find out on saturday. My daughter desperately wants a little sister 
1064348687325195;Lauren Jacobs;All girl
1064348687325195;Natalie Parker;Girl
1064348687325195;Jenny Edmark;Jag gissar stenhårt på tjej 
1064348687325195;Mel Bee;Girl
1064348687325195;Jillian Forbes;Girl
1064348687325195;Kitty Hågensen;Tjej 
1064348687325195;Tarsha Marie Rix;100% little girl 
1064348687325195;Colleen Amos;Girl 
1064348687325195;Caitlyn Brooks;Girl!
1064348687325195;Christina Singh;It's a girl
1064348687325195;Giselle Fernandez Silva;
1064348687325195;Giselle Fernandez Silva;I think that’s the girliest nub I’ve ever seen.  
1064348687325195;Shabnam Bengali;GIRL
1064348687325195;Xuxa Taman;Girl 
1064348687325195;Alexandra Jechorek;Girl x
1064348687325195;Shannon Milnes;Girl
1064348687325195;Julie Steele; Girl 
1064348687325195;Fay Rogan;100% baby girl 
1064348687325195;Gemma Colclough;Girl 
1064348687325195;Minna Nickel;Som jag skrev i andra gruppen så är det en flicka. Du behöver inte fundera 
1064348687325195;Crystal Clovis;Girl X
1035387836887947;Amber Donker;Early girl. This can still be a boy
1035387836887947;Shabnam Bengali;Slight boy lean
1035387836887947;Natalie Parker;Clear boy xx
1063722740721123;Amber Donker;No clues
1062865924140138;Natalie Parker;Boy, bottom one is too low for Nub xx
1062865924140138;Tiana Jitts;Boy 
1062865924140138;Tarsha Marie Rix;Boy 
1062865924140138;Sonya Williams;
